id,hic_lab_or,hic_tp_pct,hic_tp_cat,hic_tp_num,hic_p_tn,hic_np_tn,hic_pp_tn,area_ha,id_pk,HIC_1,HIC_2,hic_num_t,HIC_3,HIC_4,HIC_5,HIC_6,area_m2
148491,"14200_100,1150_100","1420_100,1150_100","1420,1150*",2,1,1,0,5927.634999990000324,839936,14200_100,1150_100,2,,,,,5931.652
148473,"14200_100,1150_100","1150_100,1420_100","1150*,1420",2,1,1,0,10764.504999999999200,839955,14200_100,1150_100,2,,,,,10772.906
136491,"1150_100,14200_25","1150_100,1420_25","1150*,1420",2,1,1,0,3609.610000000000127,839913,1150_100,14200_25,2,,,,,3612.426
167553,"2190_100,1150_0","1150_0,2190_100","1150*,2190",2,1,1,1,6329.845000010000149,839991,2190_100,1150_0,2,,,,,6334.811
135975,1150_100,1150_100,1150*,1,1,0,0,4739.074999999999818,839996,1150_100,,1,,,,,4742.751
135973,1150_100,1150_100,1150*,1,1,0,0,1883.190000000000055,840199,1150_100,,1,,,,,1884.651
136486,"1150_100,14200_25","1150_100,1420_25","1150*,1420",2,1,1,0,981.264999995685685,839969,1150_100,14200_25,2,,,,,982.032
35825,1150_100,1150_100,1150*,1,1,0,0,150.725000000954594,839970,1150_100,,1,,,,,150.842
136733,"1150_100,14200_75","1150_100,1420_75","1150*,1420",2,1,1,0,297647.344999999972060,839982,1150_100,14200_75,2,,,,,297879.873
148487,"14200_100,1150_100","1420_100,1150_100","1420,1150*",2,1,1,0,25340.775000000001455,839983,14200_100,1150_100,2,,,,,25360.495
136585,"1150_100,14200_50","1420_50,1150_100","1420,1150*",2,1,1,0,2830.760000000000218,840010,1150_100,14200_50,2,,,,,2832.969
135937,1150_100,1150_100,1150*,1,1,0,0,926.850000005197899,840033,1150_100,,1,,,,,927.574
135964,"1150_100,14200_50","1420_50,1150_100","1420,1150*",2,1,1,0,533.659999995804469,840049,1150_100,14200_50,2,,,,,534.078
136735,"1150_100,14200_75","1420_75,1150_100","1420,1150*",2,1,1,0,46958.864999999997963,840071,1150_100,14200_75,2,,,,,46995.666
